species,speciesno,trayplacement,assignedrandomsamples,block,soil,trtno,newno,rep,treatment,feedstock,temperature,plantednumber,harvest live,percentemerged,aspercent,harvesttotalliveanddead,shootdw,shootdwplant,log10 shootdwplant,pH,EC,log10 EC,P,log10 P,Extra comments 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,82,14,bottom,Norfolk,14,33,1,PC-700,PC,700,25,22,88,1.217054721,22,0.0777,0.003531818,-2.452001662,6.3,109,2.037426498,3.161045,0.499830678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,94,7,bottom,Norfolk,15,34,1,PL-700,PL,700,25,18,72,1.0131975,18,0.0565,0.003138889,-2.503224057,7.3,577,2.761175813,30.37475,1.482512712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,145,55,bottom,Norfolk,16,35,1,SS-700,SS,700,25,23,92,1.284039775,23,0.0728,0.003165217,-2.499596457,6.42,197,2.294466226,53.6471,1.72954625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,112,40,bottom,Norfolk,17,36,1,SG-700,SG,700,25,21,84,1.159279481,21,0.0845,0.00402381,-2.395362586,6.17,128,2.10720997,4.00544,0.602650231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,91,48,bottom,Norfolk,18,37,1,55-700,55,700,25,18,72,1.0131975,18,0.0705,0.003916667,-2.407083388,6.98,333,2.522444234,18.7915,1.273961448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,137,2,bottom,Norfolk,19,38,1,82-700,82,700,25,22,88,1.217054721,23,0.1458,0.00633913,-2.197970312,6.1,152,2.181843588,5.673635,0.753861393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,151,45,bottom,Coxville,1,1,2,Control,,,25,16,64,0.927295218,20,0.065,0.00325,-2.488116639,5.2,323,2.509202522,11.575405,1.063536195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,135,2,bottom,Coxville,2,2,2,PC-350,PC,350,25,18,72,1.0131975,19,0.0678,0.003568421,-2.447523907,5.17,237,2.374748346,14.249635,1.15380374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,129,49,bottom,Coxville,3,3,2,PL-350,PL,350,25,19,76,1.058823639,19,0.0807,0.004247368,-2.371880066,5.7,434,2.63748973,37.906285,1.578711224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,110,18,bottom,Coxville,4,4,2,SS-350,SS,350,25,21,84,1.159279481,21,0.0863,0.004109524,-2.386208499,5.65,391,2.592176757,48.603205,1.686664909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,142,14,bottom,Coxville,5,5,2,SG-350,SG,350,25,20,80,1.107148718,20,0.0692,0.00346,-2.460923901,5.16,249,2.396199347,12.603955,1.100506844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,150,56,bottom,Coxville,6,6,2,55-350,55,350,25,22,88,1.217054721,22,0.0781,0.00355,-2.449771647,5.59,377,2.57634135,25.357975,1.404114569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,128,16,bottom,Coxville,7,7,2,82-350,82,350,25,20,80,1.107148718,20,0.0892,0.00446,-2.350665141,5.34,257,2.409933123,16.512445,1.217811384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
